Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,172.30,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.70,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,171.40,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,167.50,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.40,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.60,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,174.60,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,168.40,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,171.00,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,158.10,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,123.10,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,146.80,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,152.60,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,164.40,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,153.30,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,150.70,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,149.10,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,147.90,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,160.30,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,142.20,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,129.30,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,138.20,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,136.90,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,133.80,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,134.40,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,126.70,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,127.10,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,113.50,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,138.60,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,100.70,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,131.50,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,108.60,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,118.50,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,116.30,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,84.60,
