Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,50.20,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,51.70,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,51.00,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,47.40,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,50.60,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,49.30,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,51.90,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,48.00,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,47.50,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,44.00,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,40.00,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,42.00,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,43.50,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,44.00,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,39.70,
