Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,29.10,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,33.20,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,29.40,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,29.20,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,30.40,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,31.70,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,32.80,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,30.90,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,27.30,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,28.40,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,29.30,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,23.80,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,27.70,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,25.90,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,26.80,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,25.50,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,26.10,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.10,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,23.00,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.80,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.40,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.70,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,23.70,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,21.90,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.40,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.90,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.20,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.80,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.10,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.60,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.60,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.30,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.00,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.40,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.10,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.40,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,21.10,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.40,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.20,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.90,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.30,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,22.40,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.80,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.60,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.30,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.60,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.90,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,19.60,
SURVEY,1974.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.20,
SURVEY,1973.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.10,
SURVEY,1972.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,21.40,
SURVEY,1971.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,20.20,
SURVEY,1970.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.70,
SURVEY,1969.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.00,
SURVEY,1968.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.00,
SURVEY,1967.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,17.10,
SURVEY,1966.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,17.50,
SURVEY,1965.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.80,
SURVEY,1964.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.80,
SURVEY,1963.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.90,
SURVEY,1962.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.50,
SURVEY,1961.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.40,
SURVEY,1960.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,17.20,
SURVEY,1959.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,18.80,
SURVEY,1958.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,17.00,
SURVEY,1957.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,17.70,
SURVEY,1956.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.60,
SURVEY,1955.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.50,
SURVEY,1954.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.10,
SURVEY,1953.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,16.20,
SURVEY,1952.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,15.30,
SURVEY,1951.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,15.10,
SURVEY,1950.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,14.60,
SURVEY,1949.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,14.80,
SURVEY,1948.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,13.60,
SURVEY,1947.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,14.20,
SURVEY,1946.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,13.20,
SURVEY,1945.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,12.10,
SURVEY,1944.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,12.10,
SURVEY,1943.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,11.90,
SURVEY,1942.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1941.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,13.70,
SURVEY,1940.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,13.40,
SURVEY,1939.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,11.70,
SURVEY,1938.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUGARBEETS,TOTAL,NOT SPECIFIED,12.40,
