Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","SUNFLOWER - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1782.00,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1529.00,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1790.00,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1560.00,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1731.00,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1603.00,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1731.00,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1625.00,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1470.00,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1380.00,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1487.00,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1398.00,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1460.00,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1554.00,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1429.00,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1426.00,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1211.00,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1539.00,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1198.00,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1213.00,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1131.00,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1338.00,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1339.00,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1262.00,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1510.00,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1317.00,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1436.00,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1190.00,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1410.00,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1035.00,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1255.00,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1352.00,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1229.00,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,985.00,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,933.00,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1469.00,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1369.00,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1109.00,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1014.00,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1044.00,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1129.00,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1177.00,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1016.00,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1349.00,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1365.00,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1252.00,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1058.00,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,TOTAL,NOT SPECIFIED,1109.00,
