Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.50,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.30,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,49.70,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,51.70,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,47.60,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.40,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,52.70,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.60,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.70,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,47.10,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.20,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.60,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.10,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.30,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.80,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,40.20,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,38.60,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.00,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.20,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.20,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,35.00,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,40.20,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.00,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.70,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.20,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,39.50,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,36.30,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,35.80,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,37.60,
