"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>VALUE</b>","POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","438",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","444",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","461",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","453",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","443",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","432",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","434",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","419",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","421",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","413",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","408",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","399",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","401",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","414",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","396",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","396",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","393",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","390",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","391",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","367",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","362",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","358",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","381",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","359",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","343",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","345",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","350",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","323",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","339",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","326",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","323",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","304",""
