"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","50.2",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","51.7",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","47.4",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","50.6",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","49.3",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","51.9",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","47.5",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","43.5",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","39.7",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","41.7",""
