"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","29.1",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","33.2",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","29.4",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","29.2",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","30.4",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","31.7",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","32.8",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","30.9",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","27.3",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","28.4",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","29.3",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","23.8",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","27.7",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","25.9",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","26.8",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","25.5",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","26.1",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","22.1",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","22.8",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","20.4",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","20.7",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","23.7",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","21.9",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","22.4",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","20.9",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","20.2",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","19.8",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","22.1",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUGARBEETS","TOTAL","NOT SPECIFIED","18.6",""
