"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","SUNFLOWER - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","SUNFLOWER - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,782",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,529",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,790",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,731",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,603",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,731",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,625",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,470",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,380",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,487",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,398",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,460",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,554",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,429",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,426",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,211",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,539",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,198",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,213",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,131",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,338",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,339",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,262",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,510",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,317",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,436",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,190",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,410",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,035",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,255",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,352",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,229",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","985",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","933",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,469",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,369",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,109",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,014",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,044",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,129",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,177",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,016",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,349",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,365",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,252",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,058",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SUNFLOWER","TOTAL","NOT SPECIFIED","1,109",""
